Criando personagem com Vida: 65 Vida Max: 0 Armadura Vida: 13 Sanidade: 75 Sanidade Max: 67 Armadura Sanidade: 5 Esforço: 9 Nível: 9 Classe: Classe
BPC1_N: Corpo a corpo, BPC1_V: 285
BPC2_N: Armas de Fogo, BPC2_V: 235
BPC3_N: Armas Brancas, BPC3_V: 335
    [OBJECT] | Adicionado item: Espada Longa
    [OBJECT] | Adicionado item: Poção de Cura
    [OBJECT] | Adicionado item: Poção de Sanidade
    [OBJECT] | Adicionado item: Revólver
-------------------------------------- SETUP DONE
[DISPATCHER] | Handling Perícia Use: Combate Direto
    [OBJECT] | Usando Perícia: Combate Direto
     [ROLLS] | d100: 25
    [OBJECT] | Sucesso Bom
 [INTERFACE] | Setting value: Bom / None
[DISPATCHER] | Handling Perícia Use: Combate Direto
    [OBJECT] | Usando Perícia: Combate Direto
     [ROLLS] | d100: 45
    [OBJECT] | Sucesso Bom
 [INTERFACE] | Setting value: Bom / None
[DISPATCHER] | Handling Perícia Use: Combate Direto
    [OBJECT] | Usando Perícia: Combate Direto
     [ROLLS] | d100: 71
    [OBJECT] | Sucesso Normal
 [INTERFACE] | Setting value: Normal / None
